Pipeline,Hardware,Build,Platform,OS,buildinfo.project,buildinfo.type,concurrency,buildinfo.time,Ignore?,Machine,datetime,buildinfo.command.0,buildinfo.command.1,VM type,storage,environment.release,environment.initial_cpu.physical_cores,environment.initial_cpu.total_cores,environment.initial_cpu.frequency,environment.initial_memory.total
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,edhita,Swift,0,16.16197109222412,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,edhita,Swift,0,16.551525115966797,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,edhita,Swift,0,16.291908025741577,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,edhita,Swift,0,16.22524404525757,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,edhita,Swift,0,16.157187938690186,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,edhita,Swift,0,16.202590942382812,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,edhita,Swift,0,16.357839107513428,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,edhita,Swift,0,16.30348300933838,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,edhita,Swift,0,16.548917055130005,,macpro-5,TueJun2185219PDT2020,11.3.1,11C505,Static,local,19.4.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,edhitawithPython,Swift,0,20.248,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,edhitawithPython,Swift,0,19.87,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,edhitawithPython,Swift,0,19.209,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,edhitawithPython,Swift,0,19.602,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,edhitawithPython,Swift,0,19.624,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,edhitawithPython,Swift,0,19.227,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,edhitawithPython,Swift,0,19.401,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,edhitawithPython,Swift,0,19.186,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,edhitawithPython,Swift,0,19.297,,macpro-6,SatMay30113257PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
